Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
XR Cervical spine Oblique Views (credit)	XR Cervical spine Oblique Views	Fixed Price	GHS	0	
XR Chest PA and Lateral (cash)	XR Chest PA and Lateral	Fixed Price	GHS	0	
XR Hip - right AP (credit)	XR Hip - right AP	Fixed Price	GHS	0	
XR Hip - left AP (cash)	XR Hip - left AP	Fixed Price	GHS	0	
XR Hip - left AP (credit)	XR Hip - left AP	Fixed Price	GHS	0	
XR Ankle - left Views (cash)	XR Ankle - left Views	Fixed Price	GHS	0	
XR Ankle - left Views (credit)	XR Ankle - left Views	Fixed Price	GHS	0	
XR Calcaneus - left Views (cash)	XR Calcaneus - left Views	Fixed Price	GHS	0	
XR Calcaneus - left Views (credit)	XR Calcaneus - left Views	Fixed Price	GHS	0	
XR Calcaneus - right Views (cash)	XR Calcaneus - right Views	Fixed Price	GHS	0	
XR Calcaneus - right Views (credit)	XR Calcaneus - right Views	Fixed Price	GHS	0	
XR Clavicle - left Views (cash)	XR Clavicle - left Views	Fixed Price	GHS	0	
XR Clavicle - right Views (credit)	XR Clavicle - right Views	Fixed Price	GHS	0	
XR Femur - left Views (cash)	XR Femur - left Views	Fixed Price	GHS	0	
XR Femur - left Views (credit)	XR Femur - left Views	Fixed Price	GHS	0	
XR Femur - right Views (cash)	XR Femur - right Views	Fixed Price	GHS	0	
XR Femur - right Views (credit)	XR Femur - right Views	Fixed Price	GHS	0	
XR Hand - left Views (cash)	XR Hand - left Views	Fixed Price	GHS	0	
XR Hand - left Views (credit)	XR Hand - left Views	Fixed Price	GHS	0	
Dermatologist Cons Cash (Non Resident)	Dermatology	Fixed Price	GHS	540	
Neurosurgeon Cons cash (GH Resident)	Neurosurgery	Fixed Price	GHS	450	
Physician Specialist cash Cons (Non Resident)	Physician Specilaist	Fixed Price	GHS	540	
Urologist Follow Up credit (GH Resident)	Urology	Fixed Price	GHS	295	
MAMMOGRAM - Foreign Credit	MAMMOGRAM	Fixed Price	GHS	653	Foreign credit
Dermatologist Cons cash (GH Resident)	Dermatology	Fixed Price	GHS	450	
Bacteria identified in Urethra by Culture (Local Insurance)	Bacteria identified in Urethra by Culture	Fixed Price	GHS	273	Local insurance
MAMMOGRAM - Foreign Cash	MAMMOGRAM	Fixed Price	GHS	616	Foreign cash
FISTULOGRAM - Foreign Cash	FISTULOGRAM	Fixed Price	GHS	348	Foreign cash
Dietitian Follow Up cash(GH Resident)	Dietitian	Fixed Price	GHS	278	
XR Elbow - right Views (cash)	XR Elbow - right Views	Fixed Price	GHS	0	
XR Elbow - right Views (credit)	XR Elbow - right Views	Fixed Price	GHS	0	
X-RAY CERVICAL SPINE (OBLIQUES) - Foreign Cash	X-RAY CERVICAL SPINE (OBLIQUES)	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT KNEE - Foreign Cash	X-RAY LEFT KNEE	Fixed Price	GHS	348	Foreign cash
X-RAY CHEST (PA & LAT) - Foreign Cash	X-RAY CHEST (PA & LAT)	Fixed Price	GHS	311	Foreign cash
X-RAY CHEST - Foreign Credit	X-RAY CHEST	Fixed Price	GHS	330	Foreign credit
X-RAY HIP JOINTS - Foreign Credit	X-RAY HIP JOINTS	Fixed Price	GHS	369	Foreign credit
X-RAY CERVICAL SPINE - Foreign Cash	X-RAY CERVICAL SPINE	Fixed Price	GHS	348	Foreign cash
X-RAY IVU - Foreign Cash	X-RAY IVU	Fixed Price	GHS	1487	Foreign cash
X-RAY LEFT ANKLE - Foreign Credit	X-RAY LEFT ANKLE	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT ANKLE - Foreign Cash	X-RAY LEFT ANKLE	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT CALCANEUS - Foreign Credit	X-RAY LEFT CALCANEUS	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT CLAVICLE - Foreign Credit	X-RAY LEFT CLAVICLE	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT ELBOW JNT - Foreign Credit	X-RAY LEFT ELBOW JNT	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT CALCANEUS - Foreign Cash	X-RAY LEFT CALCANEUS	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT FEMUR - Foreign Cash	X-RAY LEFT FEMUR	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT FINGERS - Foreign Cash	X-RAY LEFT FINGERS	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT FOOT - Foreign Cash	X-RAY LEFT FOOT	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT HAND - Foreign Credit	X-RAY LEFT HAND	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT HAND - Foreign Cash	X-RAY LEFT HAND	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT HUMERUS - Foreign Credit	X-RAY LEFT HUMERUS	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT HUMERUS - Foreign Cash	X-RAY LEFT HUMERUS	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT KNEE - Foreign Credit	X-RAY LEFT KNEE	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT RAD/ULNA - Foreign Credit	X-RAY LEFT RAD/ULNA	Fixed Price	GHS	369	Foreign credit
X-RAY HSG Cash (GH Resident)	X-RAY HSG	Fixed Price	GHS	1195	
X-RAY LEFT SHOULDER - Foreign Credit	X-RAY LEFT SHOULDER	Fixed Price	GHS	330	Foreign credit
CT-AORTOGRAM (Local Insurance)	CT-AORTOGRAM	Fixed Price	GHS	2131	Local insurance
X-RAY ABDOMEN(ERECT & SUPINE) - Foreign Cash	X-RAY ABDOMEN(ERECT & SUPINE)	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT ELBOW JNT - Foreign Cash	X-RAY LEFT ELBOW JNT	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT FEMUR - Foreign Credit	X-RAY LEFT FEMUR	Fixed Price	GHS	369	Foreign credit
X-RAY LEFT FOOT - Foreign Credit	X-RAY LEFT FOOT	Fixed Price	GHS	369	Foreign credit
X-RAY IVU - Foreign Credit	X-RAY IVU	Fixed Price	GHS	1576	Foreign credit
X-RAY CHEST (PA & LAT) - Foreign Credit	X-RAY CHEST (PA & LAT)	Fixed Price	GHS	330	Foreign credit
CERV HPV DNA TESTING Credit - Gh Resident	CERV HPV DNA TESTING	Fixed Price	GHS	785	
CERV HPV DNA TESTING Cash - Gh Resident	CERV HPV DNA TESTING	Fixed Price	GHS	741	
X-RAY PNS - Foreign Credit	X-RAY PNS	Fixed Price	GHS	584	Foreign credit
X-RAY ORBITS - Foreign Credit	X-RAY ORBITS	Fixed Price	GHS	369	Foreign credit
CT-CHEST (WITH CONT) (Local Insurance)	CT-CHEST (WITH CONT)	Fixed Price	GHS	1360	Local insurance
X-RAY LEFT WRIST JNT - Foreign Credit	X-RAY LEFT WRIST JNT	Fixed Price	GHS	369	Foreign credit
X-RAY LUMBER SPINE - Foreign Credit	X-RAY LUMBER SPINE	Fixed Price	GHS	369	Foreign credit
X-RAY MANDIBLE (OBL) - Foreign Credit	X-RAY MANDIBLE (OBL)	Fixed Price	GHS	369	Foreign credit
X-RAY MASTOIDS - Foreign Credit	X-RAY MASTOIDS	Fixed Price	GHS	369	Foreign credit
X-RAY MIC. CYSTO URETHROGRAM - Foreign Credit	X-RAY MIC. CYSTO URETHROGRAM	Fixed Price	GHS	1576	Foreign credit
X-RAY MANDIBLE (OBL) - Foreign Cash	X-RAY MANDIBLE (OBL)	Fixed Price	GHS	348	Foreign cash
X-RAY RIBS - Foreign Credit	X-RAY RIBS	Fixed Price	GHS	369	Foreign credit
X-RAY ORBITS - Foreign Cash	X-RAY ORBITS	Fixed Price	GHS	348	Foreign cash
X-RAY RIBS - Foreign Cash	X-RAY RIBS	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT ANKLE - Foreign Credit	X-RAY RIGHT ANKLE	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT ANKLE - Foreign Cash	X-RAY RIGHT ANKLE	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT CALCANEUS - Foreign Credit	X-RAY RIGHT CALCANEUS	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT CLAVICLE (credit)	X-RAY RIGHT CLAVICLE	Fixed Price	GHS	307	
X-RAY RIGHT CLAVICLE (cash)	X-RAY RIGHT CLAVICLE	Fixed Price	GHS	290	
X-RAY RIGHT ELBOW JNT - Foreign Credit	X-RAY RIGHT ELBOW JNT	Fixed Price	GHS	369	Foreign credit
X-RAY CERVICAL SPINE (OBLIQUES) - Foreign Credit	X-RAY CERVICAL SPINE (OBLIQUES)	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT ELBOW JNT - Foreign Cash	X-RAY RIGHT ELBOW JNT	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT FEMUR - Foreign credit	X-RAY RIGHT FEMUR	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT FEMUR - Foreign Cash	X-RAY RIGHT FEMUR	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT FINGERS - Foreign Credit	X-RAY RIGHT FINGERS	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT FINGERS - Foreign Cash	X-RAY RIGHT FINGERS	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT FOOT - Foreign Credit	X-RAY RIGHT FOOT	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT FOOT - Foreign Cash	X-RAY RIGHT FOOT	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT HAND - Foreign Credit	X-RAY RIGHT HAND	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT HUMERUS - Foreign Credit	X-RAY RIGHT HUMERUS	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT CALCANEUS - Foreign Cash	X-RAY RIGHT CALCANEUS	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT WRIST JNT - Foreign Cash	X-RAY LEFT WRIST JNT	Fixed Price	GHS	348	Foreign cash
X-RAY LUMBER (FLEX/EXTN - Foreign Cash	X-RAY LUMBER (FLEX/EXTN	Fixed Price	GHS	348	Foreign cash
X-RAY LUMBER SPINE - Foreign Cash	X-RAY LUMBER SPINE	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT HAND - Foreign Cash	X-RAY RIGHT HAND	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT KNEE - Foreign Cash	X-RAY RIGHT KNEE	Fixed Price	GHS	348	Foreign cash
CERV HPV DNA TESTING Cash - Non Resident	CERV HPV DNA TESTING	Fixed Price	GHS	889	
X-RAY SACROLLIAC JOINT - Foreign Cash	X-RAY SACROLLIAC JOINT	Fixed Price	GHS	348	Foreign cash
X-RAY RIGHT WRIST JNT - Foreign Credit	X-RAY RIGHT WRIST JNT	Fixed Price	GHS	369	Foreign credit
CERV Pap Smear Credit - GH Resident	CERV Pap Smear	Fixed Price	GHS	265	
CT- FOOT - Foreign Credit	CT- FOOT	Fixed Price	GHS	1799	Foreign credit
X-RAY RIGHT RAD/ULNA - Foreign Cash	X-RAY RIGHT RAD/ULNA	Fixed Price	GHS	348	Foreign cash
CT- FOOT - Foreign Cash	CT- FOOT	Fixed Price	GHS	1697	Foreign cash
CT-EXTREMITIES - Foreign Credit	CT-EXTREMITIES	Fixed Price	GHS	1442	Foreign credit
X-RAY RIGHT WRIST JNT - Foreign Cash	X-RAY RIGHT WRIST JNT	Fixed Price	GHS	348	Foreign cash
X-RAY SACROLLIAC JOINT - Foreign Credit	X-RAY SACROLLIAC JOINT	Fixed Price	GHS	369	Foreign credit
X-RAY SKULL - Foreign Credit	X-RAY SKULL	Fixed Price	GHS	369	Foreign credit
CT- PULMONARY ANGIOGRAM - Foreign Credit	CT- PULMONARY ANGIOGRAM	Fixed Price	GHS	2258	Foreign credit
X-RAY SKULL - Foreign Cash	X-RAY SKULL	Fixed Price	GHS	348	Foreign cash
X-RAY STERNUM - Foreign Credit	X-RAY STERNUM	Fixed Price	GHS	369	Foreign credit
X-RAY STERNUM - Foreign Cash	X-RAY STERNUM	Fixed Price	GHS	348	Foreign cash
X-RAY THORACIC INLET - Foreign Credit	X-RAY THORACIC INLET	Fixed Price	GHS	388	Foreign credit
X-RAY THORACIC INLET - Foreign Cash	X-RAY THORACIC INLET	Fixed Price	GHS	366	Foreign cash
X-RAY THORACIC SPINE - Foreign Credit	X-RAY THORACIC SPINE	Fixed Price	GHS	369	Foreign credit
X-RAY THORACIC SPINE - Foreign Cash	X-RAY THORACIC SPINE	Fixed Price	GHS	348	Foreign cash
X-RAY TIB & FIB (CHILDREN) - Foreign Credit	X-RAY TIB & FIB (CHILDREN)	Fixed Price	GHS	369	Foreign credit
X-RAY SINUSES - Foreign Cash	X-RAY SINUSES	Fixed Price	GHS	311	Foreign cash
X-RAY RIGHT SHOULDER - Foreign Credit	X-RAY RIGHT SHOULDER	Fixed Price	GHS	330	Foreign credit
CERV Pap Smear Cash - GH Resident	CERV Pap Smear	Fixed Price	GHS	175	
X-RAY RIGHT RAD/ULNA - Foreign Credit	X-RAY RIGHT RAD/ULNA	Fixed Price	GHS	369	Foreign credit
X-RAY SCOLIOSIS SERIES - Foreign Cash	X-RAY SCOLIOSIS SERIES	Fixed Price	GHS	1120	Foreign cash
CT-BRAIN (ANGIO ) - Foreign Credit	CT-BRAIN (ANGIO )	Fixed Price	GHS	2877	Foreign credit
CT-CHEST (WITH CONT) - Foreign Cash	CT-CHEST (WITH CONT)	Fixed Price	GHS	1596	Foreign cash
CERV HPV DNA TESTING Credit - Non Resident	CERV HPV DNA TESTING	Fixed Price	GHS	943	
CT- SCAN REPORTING ONLY - Foreign Credit	CT- SCAN REPORTING ONLY	Fixed Price	GHS	240	Foreign credit
CT-CHEST (WITH CONT) - Foreign Credit	CT-CHEST (WITH CONT)	Fixed Price	GHS	1631	Foreign credit
X-RAY URETHROGRAM - Foreign Cash	X-RAY URETHROGRAM	Fixed Price	GHS	1487	Foreign cash
CT-LUMBAR SPINE - Foreign Credit	CT-LUMBAR SPINE	Fixed Price	GHS	1799	Foreign credit
CT- PULMONARY ANGIOGRAM - Foreign Cash	CT- PULMONARY ANGIOGRAM	Fixed Price	GHS	2130	Foreign cash
CT- SCAN REPORTING ONLY - Foreign Cash	CT- SCAN REPORTING ONLY	Fixed Price	GHS	226	Foreign cash
CT- THORACIC SPINE - Foreign Credit	CT- THORACIC SPINE	Fixed Price	GHS	1799	Foreign credit
CT-BRAIN (RTA) - Foreign Cash	CT-BRAIN (RTA)	Fixed Price	GHS	912	Foreign cash
US- CAROTIC DOPPLER (PER SIDE) - Foreign Cash	US- CAROTIC DOPPLER (PER SIDE)	Fixed Price	GHS	596	Foreign cash
US- CHEST - Foreign Cash	US- CHEST	Fixed Price	GHS	331	Foreign cash
CERV Pap Smear Cash - Non Resident	CERV Pap Smear	Fixed Price	GHS	300	
CT-BRAIN (RTA) - Foreign Credit	CT-BRAIN (RTA)	Fixed Price	GHS	967	Foreign credit
US- DOPLER VENOUS RIGHT LEG - Foreign Credit	US- DOPLER VENOUS RIGHT LEG	Fixed Price	GHS	632	Foreign credit
US- DOPLER VENOUS LEFT LEG - Foreign Credit	US- DOPLER VENOUS LEFT LEG	Fixed Price	GHS	632	Foreign credit
US - UMBILICAL CORD DOPPLER - Foreign Cash	US- (UMBILICAL CORD DOPPLER)	Fixed Price	GHS	517	Foreign cash
Neurosurgeon Follow Up cash (GH Resident)	Neurosurgery	Fixed Price	GHS	278	
CT-UPPER ARM - Foreign Credit	CT-UPPER ARM	Fixed Price	GHS	1442	Foreign credit
Physiotherapist Cons Follow Up - (Local Insurance)	Physiotherapy	Fixed Price	GHS	295	Local insurance
Takoradi Neurosurgeon Cons - (Cash)	Neurosurgery	Fixed Price	GHS	220	
